episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,6,-205.488,2.332,103.773,0.020,0.174,0,collision
2,2,-199.450,12.567,96.833,0.000,0.492,0,collision
3,3,51.401,20.615,422.981,0.000,0.000,1,goal
4,1,0.000,0.000,0.000,0.000,0.000,0,not_found
5,1,-200.096,5.410,25.172,0.000,0.090,0,collision
6,2,-199.511,13.637,145.762,0.000,0.430,0,collision
7,1,-199.888,7.824,48.772,0.000,0.962,0,collision
8,1,49.992,6.034,20.247,0.000,0.000,1,goal
9,2,-199.432,13.036,125.276,0.000,0.119,0,collision
10,2,-200.115,12.800,78.252,0.000,0.409,0,collision
11,1,-200.007,3.335,2.058,0.000,0.148,0,collision
12,1,-199.896,2.569,4.514,0.000,0.000,0,collision
13,2,50.443,13.031,90.629,0.000,0.003,1,goal
14,2,-199.720,12.613,86.698,0.000,0.514,0,collision
15,2,50.751,14.240,183.059,0.000,0.000,1,goal
16,3,-198.813,21.037,405.873,0.000,0.000,0,collision
17,3,51.577,20.755,415.995,0.000,0.000,1,goal
18,2,-199.556,12.980,101.064,0.000,0.327,0,collision
19,1,0.000,0.000,0.000,0.000,0.000,0,not_found
20,1,-199.998,6.576,31.244,0.000,0.000,0,collision
21,4,52.173,26.444,408.978,0.000,0.000,1,goal
22,3,-198.546,21.048,423.451,0.000,0.040,0,collision
23,1,49.900,6.029,24.300,0.000,0.000,1,goal
24,1,-200.127,4.305,8.304,0.000,0.000,0,collision
25,3,-199.089,19.729,279.394,0.000,0.300,0,collision
26,3,51.050,20.194,311.137,0.000,0.024,1,goal
27,3,-198.566,20.671,419.135,0.000,0.003,0,collision
28,2,-199.559,12.784,78.114,0.000,0.377,0,collision
29,1,49.877,6.211,25.113,0.000,0.000,1,goal
30,4,51.730,26.746,399.584,0.000,0.004,1,goal
31,1,49.871,4.330,13.960,0.000,0.000,1,goal
32,2,50.578,13.429,130.014,0.000,0.055,1,goal
33,2,-199.524,14.009,137.040,0.000,0.033,0,collision
34,3,51.514,20.879,419.135,0.000,0.000,1,goal
35,5,-197.678,21.731,415.379,0.000,0.163,0,collision
36,2,50.614,13.230,140.484,0.000,0.125,1,goal
37,1,50.065,7.668,47.704,0.000,0.000,1,goal
38,1,0.000,0.000,0.000,0.000,0.000,0,not_found
39,3,-199.370,20.322,313.774,0.000,0.163,0,collision
40,2,-199.683,12.810,88.547,0.000,0.168,0,collision
41,6,-47.715,17.515,795.132,0.000,0.000,1,goal
42,1,49.831,5.358,17.740,0.000,0.000,1,goal
43,4,-198.215,26.331,397.070,0.000,0.081,0,collision
44,4,-47.951,27.178,394.958,0.000,0.000,1,goal
45,2,50.402,12.226,93.358,0.000,0.006,1,goal
46,3,-198.926,19.650,323.047,0.000,0.171,0,collision
47,3,51.093,20.541,342.402,0.000,0.009,1,goal
48,2,-199.561,11.900,80.034,0.000,0.538,0,collision
49,3,-199.015,19.699,278.814,0.000,0.180,0,collision
50,2,50.323,4.403,61.782,0.380,0.395,1,goal
51,3,-198.918,20.432,340.006,0.000,0.337,0,collision
52,2,50.544,14.516,187.192,0.000,0.000,1,goal
53,5,-47.183,33.145,554.917,0.000,0.013,1,goal
54,2,50.799,13.956,178.827,0.000,0.000,1,goal
55,2,50.574,13.757,133.972,0.000,0.000,1,goal
56,2,50.416,12.238,83.186,0.000,0.010,1,goal
57,2,50.735,13.823,176.833,0.000,0.000,1,goal
58,2,-199.757,4.672,65.926,0.046,0.530,0,collision
59,3,51.138,19.399,294.843,0.000,0.000,1,goal
60,1,-199.748,8.792,55.412,0.000,0.432,0,collision
61,3,50.964,19.966,262.531,0.000,0.097,1,goal
62,2,-199.425,13.803,147.922,0.000,0.069,0,collision
63,1,0.000,0.000,0.000,0.000,0.000,0,not_found
64,1,-199.861,7.266,34.869,0.000,0.000,0,collision
65,3,51.092,20.630,369.591,0.000,0.032,1,goal
66,2,-199.187,14.198,198.081,0.000,0.290,0,collision
67,4,-198.367,26.187,393.570,0.000,0.115,0,collision
68,2,50.820,13.978,179.153,0.000,0.058,1,goal
69,3,-198.869,20.191,311.062,0.000,0.287,0,collision
70,2,-199.349,13.716,160.698,0.000,0.132,0,collision
71,1,0.000,0.000,0.000,0.000,0.000,0,not_found
72,1,49.845,1.966,2.134,0.000,0.000,1,goal
73,4,52.039,26.883,395.342,0.000,0.000,1,goal
74,2,50.072,11.218,83.159,0.000,0.216,1,goal
75,3,-199.006,9.646,218.974,0.320,0.111,0,collision
76,3,-198.813,20.052,408.686,0.000,0.058,0,collision
77,3,51.018,20.218,288.914,0.000,0.214,1,goal
78,2,50.696,14.555,172.450,0.000,0.000,1,goal
